Author,Date,Region,Sentence,gemma_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Questa guerra ben fatto l'opera perché... E dall'altra parte Aiaces era un cavaliere franco e prode all'arme, di gran guisa, ma non era pieno di grande senno."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",La frase originale è un parlamento che descrive un comportamento doloso e senza speranza.
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Un uomo di valore e d'impegno, Ponzio Aufidiano, era un uomo di valore e d'impegno."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di Pompeo per i cavali, non riterrò più i fatti."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",L'ufficio di questa arte pare che vada a dichiarare che è stata detta.
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"I ventipiovoli caggiano delle risolute nebbie, e potresti anche immaginare che tutto il cielo cadesse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però che ora chi spererebbe quello che èziandio questi che non vogliono ancora crederci in Cristo, già veggono con noi, e perché non possono negare, stridono colli denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I miei vendimenti di morti e le loro presure sui vivi fecero la frode di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Gli occhi che quel, ora per le sue grandi reità, sono ferosi e onorevoli, hanno d'impatto e di dolore per il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini che starevano fermi nella bugia incontravano la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio era de' ten uomini, che si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Ho avuto la certezza che erano fatti in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corbio nipote di Ortensio menò la sua vita più bassa e più interessante.
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","L'amore è un dono che non si può vendere, e la sua forza è maggiore di qualsiasi altra forza."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ho dimenticato (ch. 347) che ero adirato scapigliato la mia donna. Ohi, quanti giorni questa ira mi tolse!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,lui che mi ha fatto dolore.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Le persone che non sapono già i nomi dei membri della congiurazione, non nominano i loro nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certo, quando gli eleri si mosse, gli eleri ti dicono: ""O fedele mia donna, fa che in mio luogo ti sia racomandato il nostro hoste troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripressa la malevolità di una donna simile a una bugia, nel tempo stesso di questo signore della republica."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavano dell'iniquità di Appio, e ripetevano la malavventura della beltà della pulcella e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, ho sempre cercato di convincere gli altri a non combattere."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda suole essere talora per la grande provezione fare timoroso, e la prima per l'ardire rendere altrui matto."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo di Cartaginese e tutta la legione trasse il seco.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo voglio conoscere per il mio bene. Questa è la cosa più importante, la quale diede ardire al profeta Natan a riprendere con grande autorità il re, il quale aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","L'esercito e insieme con loro passò tra i nemici, per cui percepì che alcuni non avevano avuto l'ardire di questo e sì avevano questo aspetto."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Iob è interpretato come dolente.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quale che sopra tutti gli altri perdono gli altri, e a cui più facilmente potreste credere; poi ch'egli fu il vostrocomandatore."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In un vano si domanda chi questo libro scrivesse, con ciò che è cosa che fedelmente si debba credere che l'autore di quello fu lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usatissima, ciò parrebbe certo molto più incredibile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,i cavalieri che venivano da Cecilia in Toscana avevano contraddetto il passaggio di cavalieri provenienti da altri paesi.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","la vita è un dono, e chi non la ha non ne ha nulla""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",Sono lieto di mandare a voi Timoteo un messaggio di gioia.
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Il uomo si è fatto saltare l'uomo d'udire e il lupo cerviere del vedere.
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,un posto si sendono lanciati; la cosa che i cavalieri l'appellano capo di porco
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tendere le reti alle creature e sa bene in quali valle si trova il feroce porco che cinghia.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i disidirosi cervi con diverse e diverse paure, o lo porco cenghiare caggiano in terra passata."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.",Le cose incorporali che non conversano tra le corporali sono Dio e le cose divine.
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.",Dio dispensa le materie e i beni per la quale si dispensano i judi.
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","I poeti, parlando di dolore, dicono le loro virtuti e fabbisamente le loro difetti, quando alcuna passava l'ordine a loro deputato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","La cosa che è dirette e onesta, e con virtute, è l'unica cosa che vale la pena."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invallenavano di giorno, era una meraviglia vedere come i Psille si combatterevano al veleno, che elli immolanovano tutto nell'incisivo della loro salive."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pur questo fu colpa tuo, ma che volessi vedere con gli occhi corporali la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti",No.
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,si deve fare un'eccellente scelta.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Notabile era l'esemplo a tutti quelli che si guardavano di fare e di pensar tradigione, il servo, il quale gli aveva accusati, fu franato, e fugli donata grande quantità di moneta."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,che sarebbe a lui cosa sconcia se l'avesse commesso sì che la colpa del servo e il gastigamento di Platone avevano meritato egualmente.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Il massimo potere le era riservato, dandogli il diritto di re nella città in cui nacque il servo; questo avvenne lunghissimamente nell'impero."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza per la propria propendenza del corpo in cui si connette.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Iddio, e l'anima."
