Author,Date,Region,Sentence,llama_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra bene fatta l'opera perché etc. Et dall'altra parte Aiaces era un cavaliere franco e prode nell'arma, di gran guisa, ma non era pieno di gran senno."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudelissimo, e di tutte le colpe prendo vendetta, come dice la legge, e nessuno cavalier si perdona che peccasse."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d'altra forza d'animo fu ornato Ponzio Aufidiano, romano cavaliere."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come accompagnatore, non riterrò più i fati."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte consiste nell'affermare falsamente per far credere, fine è dire cose false per nascondere il vero."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e larghi vent'anni di nebbie; e potresti credere che tutto il cielo cadesse nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma che or chi spererebbe che quelli che non vogliono ancora credere in Cristo, già veggiono con noi, e perché non possono negare, stridono colli denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Il re fece frode ai morti e pressione ai vivi.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Quegli che attualmente è feroce e onorevole a causa delle sue grandi azioni, egli è afflitto e tormentato dalla impietà verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso si fermano in men che parole nella bugia e incontrano la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio che era uno dei dieci compagni, si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che io sapevo che erano fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio nipote d'Ortensio menò sua vita più bassa e più viziosa.

In italiano arcaico, ""corbio"" significa ""cornuto"", ""nipote"" significa ""figlio di"", ""Ortensio"" è un nome maschile, e ""menò"" è il participio passato del verbo ""menare"", che significa ""portare via"".

In italiano moderno, ""corbio"" è rimasto invariato, ""nipote"" è diventato ""nipotino"", ""Ortensio"" è diventato ""Oreste"", e ""menò"" è diventato ""menò""."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altressì un amante chiamando la sua donna dice parole e ragioni molte, et ella si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io mi ricordo che, essendo arrabbiato, mi sono scompigliato la moglie. Oh, quanti giorni questa ira mi ha tolto!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,colui che tu un tempo ammiravi per la sua amore per la tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi di coloro della congiura, poiché la donna non nominava ancora i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti?  Certo, quando mi mosse, dissi: ""O fedele mio uomo, faccia che in mio luogo ti sia raccomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Milano fu repressa la malvagità di una donna in simile bugìa, nel tempo medesimo di questo signore della repubblica, in questo modo."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",E lamentavano l'ingiustizia di Appio e piangevano la sfortunata bellezza della fanciulla e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,",Nella battaglia in cui io sempre ebbi il coraggio di parlare di pace e sempre mi compiacevo che non solo la pace era schifata.
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","la seconda talvolta per la grande autorità fare timoroso, e la prima per l'audacia rendere altrui matto."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione seguìlo.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle conoscere per nemico. Quella, che diede coraggio al profeta Nathan a riprendere con grande autorità col re, che aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","L'arma e insieme con loro passano tra i nemici, perciò se alcuno non avesse coraggio di questo e sì avevano questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Perché Ioppe è interpretato dolente.

La frase è tratta da un testo del 1400-1500 secolo e utilizza termini e structures arcaiche."
