Author,Date,Region,Sentence,mbart_translation,nllb_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","E poi, Aiaces, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi, un po' di soldi.","E d'altra parte Aiaces era un cavaliere franco e prodigioso alle armi, di grande guisa, ma non era pieno di grande senno"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e per tutte le colpe vendetta, come dice la legge, e per tutte le colpe vendetta, come dice la legge, e per tutte le colpe vendetta.","crudele, e per ogni colpa prendi vendetta, come dice la legge, e a nessun cavaliere perdona i peccati."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non c'è altra forza d' animosità che è stato venerato il Ponzio dell'Umiliare, un romano cavaliere.","Non per altra forza d'animo fu decorato Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di Pompei per ridere e non per compagno, non riterrò più fati.","Se a tutti piace e se il tempo ha bisogno di Pompei come cavaliere e non come compagno, non ritengo più i destini."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'offiziere di questo arte sembra essere solo per far credere, fine, per far credere.","L'obiettivo di questa arte sembra essere quello di dire in modo insidioso per far credere, il fine è far credere per dirlo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"E' un' larghezza di vento, e' un' larghezza di nebbia, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' un' larghezza di vento, e' larghezza di vento, e' un' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e' larghezza di vento, e'","Ecco, i venti venti larghi scaricano nubi risolute, e potresti credere che il cielo intero cadesse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma those che spero di esporre, those che non vogliono ancora credere in Cristo, sono già con noi, e perché non lo possono negare, sono già con noi.","Ma chi spera che io possa avere questa speranza, questi che non credono ancora in Cristo, vedono già con noi, e non potendo negarlo, grideranno i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendetta per le morti facevano il frotto di un re feroce.,La vendita dei morti e la presa dei vivi fecero la frode di un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Quello, che ora per le sue grandi reghi è feroce e onorevole, il mal afflitto e tormentato di impiezia verso mio padre.","Perché lui, che ora per le sue grandi regalità è feroce e onorevole, lui di ogni male afflitto e tormentato dalla impietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini che si fermano nella bugia incontrano la verità.,Gli uomini spesso si fissano nella menzogna che incontra la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, all'incidence, and all'incidence, and all'incidence, and all'incidence, and all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, e all'incidence, eincidence, e all'incidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, eincidence, einci","Marco Cornelio, che era uno dei dieci compagni, studiosamente si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Le cose che io sapevo erano fatte in Italia.,cose che sapevo fossero fatte in Italia.
